grouping,pair,n_stage_observations,stage_tokens_mean,episode_terminal_mean,episode_reasoning_mean,episode_total_mean,exact_rate,policy_clean_rate,method,phase,stage
pair,D/D,2921,13555.22252653201,10.545018829168093,5.188098654570353,15.805090403971244,0.20198562136254708,0.31975350907223554,,,
pair,D/F,1452,9652.538567493113,3.6077823691460056,5.194055247933885,8.873361515151515,0.3409090909090909,0.7506887052341598,,,
pair,F/D,979,6115.5975485188965,11.03779366700715,5.199774596527068,16.30411279877426,0.07150153217568948,0.1940755873340143,,,
pair,F/F,1148,3971.8571428571427,6.427264808362369,4.934974655923345,11.431920910278745,0.2787456445993031,0.5452961672473867,,,
method+pair,D/D,242,12908.066115702479,9.822314049586776,5.1020435537190085,14.997575371900826,0.2396694214876033,0.3884297520661157,direct_multistage_exp3,,
method+pair,D/F,107,9749.242990654206,3.789719626168224,5.062028971962617,8.922798130841121,0.29906542056074764,0.7009345794392523,direct_multistage_exp3,,
method+pair,F/D,58,6393.672413793103,11.431034482758621,5.245393103448276,16.741615517241378,0.034482758620689655,0.10344827586206896,direct_multistage_exp3,,
method+pair,F/F,93,4180.215053763441,5.532258064516129,4.917860860215054,10.520447956989248,0.3548387096774194,0.6451612903225806,direct_multistage_exp3,,
method+pair,D/D,241,12913.053941908714,10.114107883817427,5.130544979253112,15.317237510373443,0.2987551867219917,0.2987551867219917,direct_multistage_exp3_local,,
method+pair,D/F,96,9639.59375,3.7291666666666665,4.917863333333334,8.718036249999999,0.3229166666666667,0.7395833333333334,direct_multistage_exp3_local,,
method+pair,F/D,59,6653.338983050848,9.296610169491526,5.025985423728813,14.390126101694914,0.13559322033898305,0.2033898305084746,direct_multistage_exp3_local,,
method+pair,F/F,104,4133.509615384615,5.466346153846154,4.767495336538461,10.303554951923077,0.375,0.5769230769230769,direct_multistage_exp3_local,,
method+pair,D/D,238,13383.617647058823,8.792016806722689,5.152265567226891,14.017343718487396,0.29831932773109243,0.31932773109243695,epsilon_exp3,,
method+pair,D/F,98,10270.632653061224,2.683673469387755,5.27484693877551,8.02886530612245,0.3979591836734694,0.7959183673469388,epsilon_exp3,,
method+pair,F/D,62,6470.370967741936,9.92741935483871,5.232179919354839,15.228589596774194,0.14516129032258066,0.3225806451612903,epsilon_exp3,,
method+pair,F/F,102,4003.4803921568628,5.627450980392157,4.9951469607843135,10.692712647058825,0.30392156862745096,0.5490196078431373,epsilon_exp3,,
method+pair,D/D,228,13760.311403508771,11.333333333333334,5.189285570175439,16.59598600877193,0.15789473684210525,0.33771929824561403,naive_mixed,,
method+pair,D/F,110,9899.7,2.9045454545454548,5.3169805,8.293916863636364,0.38181818181818183,0.8090909090909091,naive_mixed,,
method+pair,F/D,72,5807.444444444444,10.36111111111111,4.98510125,15.412566527777777,0.0,0.1527777777777778,naive_mixed,,
method+pair,F/F,90,3643.0222222222224,7.477777777777778,4.9950618888888885,12.543448555555557,0.18888888888888888,0.4777777777777778,naive_mixed,,
method+pair,D/D,236,13632.99152542373,10.59322033898305,5.440018199152543,16.10488218220339,0.1864406779661017,0.3220338983050847,naive_mixed_avg,,
method+pair,D/F,168,9017.386904761905,4.913690476190476,5.389580535714286,10.374707321428572,0.30952380952380953,0.6607142857142857,naive_mixed_avg,,
method+pair,F/D,64,4613.59375,11.375,5.290985703125,16.733818515625,0.0625,0.3125,naive_mixed_avg,,
method+pair,F/F,32,3621.90625,5.046875,5.01079890625,10.12706453125,0.3125,0.71875,naive_mixed_avg,,
method+pair,D/D,230,13787.94347826087,11.858695652173912,5.234829891304347,17.16568293478261,0.1608695652173913,0.2608695652173913,random_path,,
method+pair,D/F,102,9596.607843137255,4.0,5.274415539215687,9.345555735294118,0.3137254901960784,0.7156862745098039,random_path,,
method+pair,F/D,70,6104.442857142857,11.064285714285715,5.3350475,16.465638928571426,0.04285714285714286,0.17142857142857143,random_path,,
method+pair,F/F,98,4274.581632653061,6.607142857142857,4.717475663265306,11.393379744897958,0.2857142857142857,0.5612244897959183,random_path,,
method+pair,D/D,220,13968.6,11.059090909090909,5.251341136363636,16.38210159090909,0.18636363636363637,0.33636363636363636,risky_ps,,
method+pair,D/F,119,9861.10924369748,4.273109243697479,5.3767194117647055,9.721305126050419,0.31932773109243695,0.7226890756302521,risky_ps,,
method+pair,F/D,80,5807.7375,11.1375,5.3382461249999995,16.541969875,0.0875,0.225,risky_ps,,
method+pair,F/F,81,3964.0493827160494,6.080246913580247,5.003446913580247,11.15375061728395,0.2962962962962963,0.5802469135802469,risky_ps,,
method+pair,D/D,223,13814.605381165919,11.504484304932735,5.272585986547085,16.84844159192825,0.13004484304932734,0.31390134529147984,risky_ps_direct_cost,,
method+pair,D/F,117,9346.811965811965,3.7094017094017095,5.05566170940171,8.836718974358975,0.3247863247863248,0.7606837606837606,risky_ps_direct_cost,,
method+pair,F/D,77,5976.818181818182,11.46103896103896,5.283505,16.811871233766233,0.09090909090909091,0.23376623376623376,risky_ps_direct_cost,,
method+pair,F/F,83,3952.10843373494,6.963855421686747,5.0211809638554215,12.054979759036144,0.25301204819277107,0.5180722891566265,risky_ps_direct_cost,,
method+pair,D/D,231,13136.753246753247,9.935064935064934,5.130522878787879,15.136834134199136,0.18181818181818182,0.35064935064935066,risky_ps_ix,,
method+pair,D/F,108,9483.296296296296,3.6481481481481484,5.0312,8.751325925925926,0.35185185185185186,0.7592592592592593,risky_ps_ix,,
method+pair,F/D,69,6529.913043478261,11.289855072463768,5.108892101449276,16.46591963768116,0.08695652173913043,0.21739130434782608,risky_ps_ix,,
method+pair,F/F,92,3920.2065217391305,6.0271739130434785,4.943972663043478,11.040859619565218,0.2608695652173913,0.5652173913043478,risky_ps_ix,,
method+pair,D/D,207,13493.951690821255,10.22463768115942,5.069285217391305,15.365417584541062,0.18840579710144928,0.2463768115942029,risky_ps_linear,,
method+pair,D/F,110,9195.59090909091,3.2363636363636363,4.930294818181818,8.238217545454546,0.35454545454545455,0.7454545454545455,risky_ps_linear,,
method+pair,F/D,93,6279.075268817204,9.801075268817204,5.181567956989247,15.04917440860215,0.0967741935483871,0.13978494623655913,risky_ps_linear,,
method+pair,F/F,90,3926.0555555555557,6.372222222222222,4.857956222222223,11.300058444444444,0.25555555555555554,0.4888888888888889,risky_ps_linear,,
method+pair,D/D,234,13385.65811965812,10.205128205128204,5.1526996581196585,15.430046239316239,0.2094017094017094,0.32905982905982906,risky_ps_old,,
method+pair,D/F,107,9788.971962616823,3.107476635514019,5.1346948598130835,8.314431308411214,0.3644859813084112,0.794392523364486,risky_ps_old,,
method+pair,F/D,66,5966.757575757576,13.121212121212121,5.042913030303031,18.230429696969697,0.045454545454545456,0.16666666666666666,risky_ps_old,,
method+pair,F/F,93,3918.989247311828,7.0,5.011944838709677,12.081848064516128,0.25806451612903225,0.5053763440860215,risky_ps_old,,
method+pair,D/D,183,14392.136612021857,11.576502732240437,5.062720765027322,16.709203825136612,0.13114754098360656,0.31693989071038253,risky_ps_safe_conditional,,
method+pair,D/F,95,10319.705263157895,2.3789473684210525,5.246191789473684,7.697153894736841,0.37894736842105264,0.8842105263157894,risky_ps_safe_conditional,,
method+pair,F/D,117,6394.384615384615,11.038461538461538,5.14689623931624,16.25047230769231,0.06837606837606838,0.18803418803418803,risky_ps_safe_conditional,,
method+pair,F/F,105,3879.7809523809524,7.633333333333334,5.062810428571429,12.764384714285715,0.20952380952380953,0.4857142857142857,risky_ps_safe_conditional,,
method+pair,D/D,208,13943.028846153846,10.41826923076923,5.2319453605769235,15.721152091346154,0.23076923076923078,0.3269230769230769,risky_ps_safe_conditional_ix,,
method+pair,D/F,115,9800.869565217392,3.5478260869565217,5.3732942608695655,8.992526434782608,0.3391304347826087,0.7391304347826086,risky_ps_safe_conditional_ix,,
method+pair,F/D,92,6310.967391304348,12.054347826086957,5.33811375,17.458172445652174,0.043478260869565216,0.13043478260869565,risky_ps_safe_conditional_ix,,
method+pair,F/F,85,3941.764705882353,6.923529411764706,4.925257176470589,11.918067764705881,0.2823529411764706,0.5294117647058824,risky_ps_safe_conditional_ix,,
phase+pair,D/D,2921,13555.22252653201,10.545018829168093,5.188098654570353,15.805090403971244,0.20198562136254708,0.31975350907223554,,target_post_switch,
phase+pair,D/F,320,7800.9125,11.4234375,5.514173765625,17.008517203125002,0.1375,0.3,,target_post_switch,
phase+pair,F/D,979,6115.5975485188965,11.03779366700715,5.199774596527068,16.30411279877426,0.07150153217568948,0.1940755873340143,,target_post_switch,
phase+pair,F/F,655,3598.412213740458,10.3,5.033157664122137,15.403623465648854,0.18473282442748093,0.2824427480916031,,target_post_switch,
phase+pair,D/F,1132,10175.966431095407,1.3984098939929328,5.10356238074205,6.573670861307421,0.39840989399293286,0.8780918727915195,,trap_pre_switch,
phase+pair,F/F,493,4468.0162271805275,1.281947261663286,4.804528671399594,6.155115283975659,0.40365111561866124,0.8945233265720081,,trap_pre_switch,
method+stage+pair,D/F,36,7773.333333333333,8.51388888888889,5.3589045833333335,13.943843472222222,0.2222222222222222,0.3611111111111111,direct_multistage_exp3,,stage1
method+stage+pair,F/F,64,3581.875,7.5859375,4.916633359375,12.573988046875,0.265625,0.53125,direct_multistage_exp3,,stage1
method+stage+pair,D/D,44,7830.772727272727,9.079545454545455,5.120826022727273,14.27521465909091,0.3181818181818182,0.4772727272727273,direct_multistage_exp3,,stage2
method+stage+pair,D/F,9,7099.111111111111,1.0,5.064463333333333,6.136396666666666,0.3333333333333333,1.0,direct_multistage_exp3,,stage2
method+stage+pair,F/D,31,3510.7096774193546,11.629032258064516,5.142435161290323,16.838622258064518,0.03225806451612903,0.12903225806451613,direct_multistage_exp3,,stage2
method+stage+pair,F/F,16,3443.75,1.4375,4.8295684375,6.3362059375,0.4375,0.8125,direct_multistage_exp3,,stage2
method+stage+pair,D/D,63,5668.841269841269,9.714285714285714,5.096971587301588,14.884527142857142,0.23809523809523808,0.36507936507936506,direct_multistage_exp3,,stage3
method+stage+pair,D/F,19,6099.210526315789,1.4473684210526316,4.539371315789474,6.057060789473684,0.3684210526315789,0.8421052631578947,direct_multistage_exp3,,stage3
method+stage+pair,F/D,12,5497.166666666667,12.333333333333334,5.301885416666667,17.698460416666666,0.0,0.16666666666666666,direct_multistage_exp3,,stage3
method+stage+pair,F/F,6,5422.333333333333,0.75,6.100868333333334,6.920451666666668,0.5,1.0,direct_multistage_exp3,,stage3
method+stage+pair,D/D,68,20399.926470588234,10.367647058823529,5.100398897058824,15.540773897058825,0.22058823529411764,0.36764705882352944,direct_multistage_exp3,,stage4
method+stage+pair,D/F,21,17611.571428571428,1.4523809523809523,5.155749523809524,6.679401904761905,0.3333333333333333,0.8571428571428571,direct_multistage_exp3,,stage4
method+stage+pair,F/D,7,14526.142857142857,7.857142857142857,5.4149585714285715,13.333444285714284,0.0,0.0,direct_multistage_exp3,,stage4
method+stage+pair,F/F,4,10886.5,0.375,3.64563125,4.08485625,0.75,1.0,direct_multistage_exp3,,stage4
method+stage+pair,D/D,67,15445.76119402985,9.85820895522388,5.096147164179105,15.026954626865672,0.208955223880597,0.373134328358209,direct_multistage_exp3,,stage5
method+stage+pair,D/F,22,9714.045454545454,1.4545454545454546,4.937162272727273,6.462812272727273,0.3181818181818182,0.8636363636363636,direct_multistage_exp3,,stage5
method+stage+pair,F/D,8,11794.0,12.4375,5.411246875,17.912596875,0.125,0.0,direct_multistage_exp3,,stage5
method+stage+pair,F/F,3,9446.666666666666,0.0,4.745231666666666,4.808331666666667,1.0,1.0,direct_multistage_exp3,,stage5
method+stage+pair,D/F,28,7768.285714285715,8.928571428571429,5.303945,14.304487857142858,0.2857142857142857,0.42857142857142855,direct_multistage_exp3_local,,stage1
method+stage+pair,F/F,72,3583.1666666666665,7.395833333333333,4.884379375,12.350957152777777,0.3055555555555556,0.4305555555555556,direct_multistage_exp3_local,,stage1
method+stage+pair,D/D,46,7912.0,9.684782608695652,5.274424891304348,15.032748804347825,0.41304347826086957,0.30434782608695654,direct_multistage_exp3_local,,stage2
method+stage+pair,D/F,7,6808.428571428572,1.0714285714285714,4.882989285714286,6.026117857142857,0.2857142857142857,1.0,direct_multistage_exp3_local,,stage2
method+stage+pair,F/D,29,3501.5862068965516,10.379310344827585,4.84914051724138,15.296947413793102,0.034482758620689655,0.2413793103448276,direct_multistage_exp3_local,,stage2
method+stage+pair,F/F,18,3444.0,1.5833333333333333,4.597568333333333,6.249657222222222,0.4444444444444444,0.8333333333333334,direct_multistage_exp3_local,,stage2
method+stage+pair,D/D,61,5767.672131147541,9.950819672131148,5.087027786885246,15.110563852459018,0.3114754098360656,0.2786885245901639,direct_multistage_exp3_local,,stage3
method+stage+pair,D/F,18,5958.5,1.6666666666666667,4.6688825,6.405415833333333,0.3888888888888889,0.8333333333333334,direct_multistage_exp3_local,,stage3
method+stage+pair,F/D,14,5503.142857142857,9.964285714285714,5.209994642857143,15.240966071428572,0.07142857142857142,0.2857142857142857,direct_multistage_exp3_local,,stage3
method+stage+pair,F/F,7,5435.714285714285,0.8571428571428571,4.69961,5.625595714285715,0.42857142857142855,1.0,direct_multistage_exp3_local,,stage3
method+stage+pair,D/D,65,20329.53846153846,10.238461538461538,5.101840538461539,15.412885153846155,0.2923076923076923,0.3076923076923077,direct_multistage_exp3_local,,stage4
method+stage+pair,D/F,21,16008.333333333334,1.6428571428571428,4.88647880952381,6.600207380952381,0.3333333333333333,0.8571428571428571,direct_multistage_exp3_local,,stage4
method+stage+pair,F/D,10,14105.6,8.1,5.1628985,13.3280385,0.1,0.1,direct_multistage_exp3_local,,stage4
method+stage+pair,F/F,4,10886.5,0.375,3.580275,4.018075,0.75,1.0,direct_multistage_exp3_local,,stage4
method+stage+pair,D/D,69,15577.478260869566,10.427536231884059,5.100137173913043,15.599505289855072,0.21739130434782608,0.30434782608695654,direct_multistage_exp3_local,,stage5
method+stage+pair,D/F,22,9854.636363636364,1.6363636363636365,4.6712525000000005,6.378234318181819,0.3181818181818182,0.8636363636363636,direct_multistage_exp3_local,,stage5
