run,seed,split,method,total,terminal,legacy,reasoning,modecost_report,path,terminal_share,clear,aux,strict,exact_mode
PSfamily_seed0,0,all,risky_ps,9.00789985,4.5,3.06,4.43653985,1.285,0.07136,0.4995615043388832,0.77,0.77,0.7,0.22
C_seed0_3methods,0,all,direct_multistage_exp3,9.5320688,4.91,3.045,4.5509138,1.34,0.07115500000000001,0.5151032900643773,0.73,0.78,0.64,0.18
confirm_seed1,1,all,epsilon_exp3,9.6123445,5.03,3.145,4.5116715,1.49,0.070673,0.5232854482067304,0.72,0.75,0.64,0.31
C_seed0_3methods,0,all,risky_ps_linear,9.7031542,5.16,3.43,4.4719132,1.3,0.071241,0.5317858392892488,0.7,0.78,0.65,0.17
confirm_seed1,1,all,direct_multistage_exp3,9.89782395,5.115,3.18,4.71238195,1.825,0.070442,0.5167802565330535,0.71,0.76,0.63,0.2
C_seed0_3methods,0,all,epsilon_exp3,10.49523505,5.605,3.385,4.82052905,1.81,0.069706,0.5340518790953616,0.67,0.73,0.62,0.15
confirm_seed1,1,all,risky_ps,10.50387505,5.985,3.945,4.44910105,1.665,0.069774,0.569789717748023,0.65,0.7,0.62,0.18
PSfamily_seed0,0,post,risky_ps,10.3682508,6.0,4.08,4.296397466666667,1.22,0.07185333333333334,0.5786897053068971,0.6933333333333334,0.6933333333333334,0.6,0.29333333333333333
C_seed0_3methods,0,post,direct_multistage_exp3,10.799557866666667,6.413333333333333,4.02,4.314353866666667,1.3,0.07187066666666667,0.5938514717466704,0.6533333333333333,0.7066666666666667,0.5333333333333333,0.24
C_seed0_3methods,0,post,risky_ps_linear,11.0641192,6.746666666666667,4.533333333333333,4.245592533333333,1.22,0.07186000000000001,0.609778920916422,0.6133333333333333,0.7066666666666667,0.5466666666666666,0.22666666666666666
confirm_seed1,1,post,epsilon_exp3,11.113883466666667,6.706666666666667,4.193333333333333,4.3363488,1.4466666666666668,0.070868,0.6034494321252916,0.6266666666666667,0.6666666666666666,0.52,0.41333333333333333
confirm_seed1,1,post,direct_multistage_exp3,11.1530334,6.58,4.18,4.5028147333333335,1.86,0.07021866666666667,0.5899740244658462,0.6266666666666667,0.68,0.52,0.26666666666666666
C_seed0_3methods,0,post,epsilon_exp3,11.8360344,7.473333333333334,4.513333333333334,4.293209066666667,1.8333333333333333,0.069492,0.6314051717637229,0.56,0.64,0.49333333333333335,0.2
confirm_seed1,1,post,risky_ps,12.436484466666666,7.98,5.26,4.386580466666667,1.7,0.06990400000000001,0.6416604323664522,0.5333333333333333,0.6,0.49333333333333335,0.24
