method,stage,required,actual,n_stage_observations,episode_n,terminal,reasoning,mode_mismatch_cost,total,exact,exact_mode_match,strict_clean,clear_success_proxy,auxiliary_success_proxy
risky_ps,ALL,deep,deep,218,73,7.272935779816514,4.35204614678899,1.165137614678899,11.697251651376147,0.6055045871559633,0.3853211009174312,0.5229357798165137,0.6055045871559633,0.6743119266055045
risky_ps,ALL,deep,fast,82,49,8.957317073170731,4.884148048780488,3.2439024390243905,13.907894390243902,0.43902439024390244,0.0,0.4146341463414634,0.43902439024390244,0.5
risky_ps,ALL,fast,deep,92,39,1.3641304347826086,5.292908967391305,1.8478260869565217,6.728232880434782,0.9239130434782609,0.0,0.9130434782608695,0.9239130434782609,0.9456521739130435
risky_ps,ALL,fast,fast,108,83,4.208333333333333,4.263932407407407,1.4351851851851851,8.541003703703703,0.7592592592592593,0.19444444444444445,0.7222222222222222,0.7592592592592593,0.7870370370370371
risky_ps,stage1,fast,deep,24,24,5.229166666666667,5.497685208333333,2.0625,10.796718541666667,0.7083333333333334,0.0,0.6666666666666666,0.7083333333333334,0.7916666666666666
risky_ps,stage1,fast,fast,76,76,5.980263157894737,4.307832368421052,1.5723684210526316,10.35859947368421,0.6578947368421053,0.27631578947368424,0.6052631578947368,0.6578947368421053,0.6973684210526315
risky_ps,stage2,deep,deep,35,35,6.571428571428571,4.180693571428572,0.5857142857142857,10.826170714285714,0.6571428571428571,0.6,0.5142857142857142,0.6571428571428571,0.6857142857142857
risky_ps,stage2,deep,fast,40,40,8.75,4.774681875,2.7375,13.592401875,0.475,0.0,0.475,0.475,0.575
risky_ps,stage2,fast,deep,9,9,0.0,4.996926111111111,2.0,5.070715,1.0,0.0,1.0,1.0,1.0
risky_ps,stage2,fast,fast,16,16,0.0,4.81598875,1.3125,4.882895,1.0,0.0,1.0,1.0,1.0
risky_ps,stage3,deep,deep,59,59,7.737288135593221,4.447580762711865,1.2542372881355932,12.25691466101695,0.576271186440678,0.3559322033898305,0.4915254237288136,0.576271186440678,0.6271186440677966
risky_ps,stage3,deep,fast,16,16,7.71875,4.6815178125,3.5,12.4658803125,0.5,0.0,0.5,0.5,0.625
risky_ps,stage3,fast,deep,19,19,0.0,5.288506578947368,1.763157894736842,5.359806578947368,1.0,0.0,1.0,1.0,1.0
risky_ps,stage3,fast,fast,6,6,0.0,3.5910883333333334,0.9166666666666666,3.654405,1.0,0.0,1.0,1.0,1.0
risky_ps,stage4,deep,deep,64,64,6.8125,4.359098203125,1.3125,11.243290390624999,0.640625,0.328125,0.5625,0.640625,0.71875
risky_ps,stage4,deep,fast,11,11,13.090909090909092,5.302660454545454,4.181818181818182,18.458315,0.09090909090909091,0.0,0.09090909090909091,0.09090909090909091,0.09090909090909091
risky_ps,stage4,fast,deep,22,22,0.0,5.122514090909091,1.6818181818181819,5.193459545454545,1.0,0.0,1.0,1.0,1.0
risky_ps,stage4,fast,fast,3,3,0.0,3.1109483333333334,0.6666666666666666,3.1688816666666666,1.0,0.0,1.0,1.0,1.0
risky_ps,stage5,deep,deep,60,60,7.716666666666667,4.35053725,1.2583333333333333,12.13927225,0.5666666666666667,0.35,0.5166666666666667,0.5666666666666667,0.6666666666666666
risky_ps,stage5,deep,fast,15,15,7.8,5.085287666666667,3.6333333333333333,12.950381,0.5333333333333333,0.0,0.4,0.5333333333333333,0.4666666666666667
risky_ps,stage5,fast,deep,18,18,0.0,5.380772777777778,1.7777777777777777,5.452628333333333,1.0,0.0,1.0,1.0,1.0
risky_ps,stage5,fast,fast,7,7,0.0,3.596320714285714,1.0,3.6593492857142857,1.0,0.0,1.0,1.0,1.0
