method,mismatch_bucket,n,terminal,reasoning,path,total,exact,clear_success_proxy,auxiliary_success_proxy,strict_clean,policy_clean,subset_clean,fast_on_deep,deep_on_fast,match_count,llm_calls
direct_multistage_exp3,all_stage_modes_match,33,10.712121212121213,5.00813303030303,0.07495757575757576,15.795211818181818,0.36363636363636365,0.36363636363636365,0.48484848484848486,0.12121212121212122,0.48484848484848486,0.36363636363636365,0.0,0.0,5.0,12.878787878787879
direct_multistage_exp3,both_mismatch_types,8,15.25,5.239663125,0.06896250000000001,20.558625624999998,0.0,0.0,0.0,0.0,0.0,0.0,1.75,1.0,2.25,12.625
direct_multistage_exp3,deep_on_fast_required,31,3.7419354838709675,5.167657258064517,0.07119354838709678,8.98078629032258,0.3548387096774194,0.3548387096774194,0.8709677419354839,0.3225806451612903,0.8709677419354839,0.3548387096774194,0.0,2.6774193548387095,2.3225806451612905,13.225806451612904
direct_multistage_exp3,fast_on_deep_required,28,9.660714285714286,5.469630892857142,0.06726071428571428,15.197605892857142,0.10714285714285714,0.10714285714285714,0.14285714285714285,0.03571428571428571,0.14285714285714285,0.10714285714285714,1.4642857142857142,0.0,3.5357142857142856,12.0
epsilon_exp3,all_stage_modes_match,16,9.9375,5.0124234375,0.07436250000000001,15.0242859375,0.4375,0.4375,0.25,0.0625,0.25,0.4375,0.0,0.0,5.0,12.875
epsilon_exp3,both_mismatch_types,23,10.869565217391305,5.50038,0.06874782608695652,16.43869304347826,0.08695652173913043,0.08695652173913043,0.13043478260869565,0.08695652173913043,0.13043478260869565,0.08695652173913043,1.608695652173913,1.0,2.391304347826087,13.08695652173913
epsilon_exp3,deep_on_fast_required,35,3.7714285714285714,5.339900714285714,0.07138,9.182709285714285,0.4,0.4,0.8,0.3142857142857143,0.8,0.4,0.0,2.7142857142857144,2.2857142857142856,13.542857142857143
epsilon_exp3,fast_on_deep_required,26,13.75,4.943892115384616,0.06714615384615386,18.76103826923077,0.07692307692307693,0.07692307692307693,0.23076923076923078,0.038461538461538464,0.23076923076923078,0.07692307692307693,1.5384615384615385,0.0,3.4615384615384617,11.384615384615385
risky_ps_linear,all_stage_modes_match,14,13.678571428571429,5.122786071428571,0.07394285714285714,18.87530035714286,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.0,0.21428571428571427,0.21428571428571427,0.0,0.0,5.0,13.214285714285714
risky_ps_linear,both_mismatch_types,15,15.6,5.754686333333334,0.06824666666666668,21.422933,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.06666666666666667,0.13333333333333333,0.06666666666666667,1.4666666666666666,1.0,2.533333333333333,13.666666666666666
risky_ps_linear,deep_on_fast_required,31,3.3225806451612905,5.37401064516129,0.07215806451612904,8.76874935483871,0.3225806451612903,0.3225806451612903,0.9354838709677419,0.3225806451612903,0.9354838709677419,0.3225806451612903,0.0,2.967741935483871,2.032258064516129,13.451612903225806
risky_ps_linear,fast_on_deep_required,40,9.9375,5.035627375,0.0696175,15.042744875,0.125,0.125,0.25,0.05,0.25,0.125,1.375,0.0,3.625,11.5
