method,schedule_phase,majority_pair,n,terminal,legacy_terminal,reasoning,mode_mismatch_cost,path,total,exact,exact_mode_match,clear_success_proxy,auxiliary_success_proxy,strict_clean,policy_clean,subset_clean,fast_on_deep,deep_on_fast,match_count,llm_calls
direct_multistage_exp3,target_post_switch,mostly_deep_vs_mostly_deep_required,62,9.870967741935484,7.57258064516129,4.872015161290323,0.0,0.07332580645161291,14.81630870967742,0.5161290322580645,0.3870967741935484,0.5161290322580645,0.6935483870967742,0.45161290322580644,0.6935483870967742,0.5161290322580645,0.45161290322580644,0.3870967741935484,4.161290322580645,13.048387096774194
direct_multistage_exp3,target_post_switch,mostly_fast_vs_mostly_deep_required,13,7.846153846153846,3.769230769230769,4.881526923076923,0.0,0.06404615384615385,12.791726923076924,0.46153846153846156,0.0,0.46153846153846156,0.46153846153846156,0.46153846153846156,0.46153846153846156,0.46153846153846156,2.5384615384615383,0.3076923076923077,2.1538461538461537,11.076923076923077
direct_multistage_exp3,trap_pre_switch,mostly_deep_vs_mostly_fast_required,16,0.0,0.0,5.5294493749999996,0.0,0.071175,5.600624375,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,3.6875,1.3125,13.4375
direct_multistage_exp3,trap_pre_switch,mostly_fast_vs_mostly_fast_required,9,0.0,0.0,3.6040655555555556,0.0,0.0661111111111111,3.670176666666667,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.6666666666666667,3.3333333333333335,10.777777777777779
epsilon_exp3,target_post_switch,mostly_deep_vs_mostly_deep_required,58,8.655172413793103,6.405172413793103,4.675652586206897,0.0,0.07171551724137931,13.402540517241379,0.5689655172413793,0.3103448275862069,0.5689655172413793,0.6724137931034483,0.5172413793103449,0.6724137931034483,0.5689655172413793,0.7068965517241379,0.20689655172413793,4.086206896551724,12.224137931034482
epsilon_exp3,target_post_switch,mostly_fast_vs_mostly_deep_required,17,8.058823529411764,5.117647058823529,4.981540882352941,0.0,0.06608235294117648,13.106446764705883,0.5294117647058824,0.0,0.5294117647058824,0.5882352941176471,0.5294117647058824,0.5882352941176471,0.5294117647058824,2.2941176470588234,0.058823529411764705,2.6470588235294117,11.235294117647058
epsilon_exp3,trap_pre_switch,mostly_deep_vs_mostly_fast_required,21,0.0,0.0,5.7786116666666665,0.0,0.07064761904761906,5.849259285714286,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,3.7142857142857144,1.2857142857142858,13.857142857142858
epsilon_exp3,trap_pre_switch,mostly_fast_vs_mostly_fast_required,4,0.0,0.0,3.8686775,0.0,0.0663,3.9349775,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,3.0,10.75
risky_ps_linear,target_post_switch,mostly_deep_vs_mostly_deep_required,65,6.069230769230769,4.1,4.899191307692307,0.0,0.07327230769230769,11.041694384615385,0.6923076923076923,0.38461538461538464,0.6923076923076923,0.676923076923077,0.5846153846153846,0.676923076923077,0.6923076923076923,0.47692307692307695,0.27692307692307694,4.246153846153846,12.953846153846154
risky_ps_linear,target_post_switch,mostly_fast_vs_mostly_deep_required,10,6.65,3.85,5.2064375,0.0,0.06457,11.9210075,0.6,0.0,0.6,0.7,0.6,0.7,0.6,2.3,0.1,2.6,12.0
risky_ps_linear,trap_pre_switch,mostly_deep_vs_mostly_fast_required,19,0.5263157894736842,0.07894736842105263,5.312281578947369,0.0,0.07249473684210526,5.911092105263158,0.9473684210526315,0.0,0.9473684210526315,1.0,0.9473684210526315,1.0,0.9473684210526315,0.0,3.736842105263158,1.263157894736842,13.210526315789474
risky_ps_linear,trap_pre_switch,mostly_fast_vs_mostly_fast_required,6,0.0,0.0,3.54781,0.0,0.06286666666666667,3.6106766666666665,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.5,3.5,10.833333333333334
