run,method,pair,n,terminal,reasoning,modecost_report,total,clear,aux,strict
C_baseline,direct_multistage_exp3,mostly_deep_vs_mostly_deep_required,66,5.962121212121212,4.1955670454545455,0.9924242424242424,10.230751893939393,0.6818181818181818,0.7424242424242424,0.5606060606060606
C_baseline,direct_multistage_exp3,mostly_fast_vs_mostly_deep_required,9,9.722222222222221,5.185457222222222,3.5555555555555554,14.970801666666667,0.4444444444444444,0.4444444444444444,0.3333333333333333
C_baseline,epsilon_exp3,mostly_deep_vs_mostly_deep_required,56,6.526785714285714,4.020448660714286,1.2053571428571428,10.618589732142857,0.625,0.7142857142857143,0.5357142857142857
C_baseline,epsilon_exp3,mostly_fast_vs_mostly_deep_required,19,10.263157894736842,5.097134473684211,3.6842105263157894,15.424292368421053,0.3684210526315789,0.42105263157894735,0.3684210526315789
PS_family_C,risky_ps,mostly_deep_vs_mostly_deep_required,70,5.628571428571429,4.224027785714286,1.042857142857143,9.924837785714285,0.7285714285714285,0.7285714285714285,0.6285714285714286
PS_family_C,risky_ps,mostly_fast_vs_mostly_deep_required,5,11.2,5.309573,3.7,16.576033000000002,0.2,0.2,0.2
PS_family_C,risky_ps_direct_cost,mostly_deep_vs_mostly_deep_required,65,7.053846153846154,4.297530846153846,1.2769230769230768,11.423621615384615,0.6,0.6923076923076923,0.5384615384615384
PS_family_C,risky_ps_direct_cost,mostly_fast_vs_mostly_deep_required,10,12.3,4.767755,3.55,17.132315,0.2,0.4,0.2
PS_family_C,risky_ps_ix,mostly_deep_vs_mostly_deep_required,67,6.798507462686567,4.3426343283582085,1.208955223880597,11.213065671641791,0.6567164179104478,0.746268656716418,0.5970149253731343
PS_family_C,risky_ps_ix,mostly_fast_vs_mostly_deep_required,8,10.6875,5.195811875,3.4375,15.948936875000001,0.375,0.375,0.375
PS_family_C,risky_ps_linear,mostly_deep_vs_mostly_deep_required,64,8.7734375,4.310605625,0.9921875,13.157660312500001,0.5,0.703125,0.453125
PS_family_C,risky_ps_linear,mostly_fast_vs_mostly_deep_required,11,9.363636363636363,5.008018181818182,3.909090909090909,14.434736363636365,0.45454545454545453,0.45454545454545453,0.45454545454545453
PS_family_C,risky_ps_old,mostly_deep_vs_mostly_deep_required,65,7.992307692307692,4.188533461538461,1.176923076923077,12.253730384615384,0.5384615384615384,0.676923076923077,0.49230769230769234
PS_family_C,risky_ps_old,mostly_fast_vs_mostly_deep_required,10,6.95,4.9066345,3.3,11.923804500000001,0.6,0.7,0.6
PS_family_C,risky_ps_safe_conditional,mostly_deep_vs_mostly_deep_required,63,5.928571428571429,4.148781031746032,1.0476190476190477,10.149701666666667,0.6984126984126984,0.6825396825396826,0.6031746031746031
PS_family_C,risky_ps_safe_conditional,mostly_fast_vs_mostly_deep_required,12,10.708333333333334,5.2421575,3.5416666666666665,16.015724166666665,0.3333333333333333,0.4166666666666667,0.3333333333333333
PS_family_C,risky_ps_safe_conditional_ix,mostly_deep_vs_mostly_deep_required,68,6.411764705882353,4.249442058823529,1.25,10.733102352941177,0.6323529411764706,0.6911764705882353,0.5735294117647058
PS_family_C,risky_ps_safe_conditional_ix,mostly_fast_vs_mostly_deep_required,7,10.357142857142858,4.8047571428571425,3.7142857142857144,15.227385714285715,0.42857142857142855,0.42857142857142855,0.42857142857142855
