run,split,method,n,terminal,legacy_terminal,reasoning,modecost_report,path,total,terminal_share_ex_path,clear,aux,strict,exact,exact_mode_match,fast_on_deep,deep_on_fast
C_baseline,all,direct_multistage_exp3,100,4.91,3.045,4.5509138,1.34,0.07115500000000001,9.5320688,0.5189773529064391,0.73,0.78,0.64,0.73,0.18,0.55,1.03
C_baseline,all,epsilon_exp3,100,5.605,3.385,4.82052905,1.81,0.069706,10.49523505,0.537622596716087,0.67,0.73,0.62,0.67,0.15,0.85,1.07
C_baseline,post,direct_multistage_exp3,75,6.413333333333333,4.02,4.314353866666667,1.3,0.07187066666666667,10.799557866666667,0.5978300088143261,0.6533333333333333,0.7066666666666667,0.5333333333333333,0.6533333333333333,0.24,0.7333333333333333,0.4
C_baseline,post,epsilon_exp3,75,7.473333333333334,4.513333333333334,4.293209066666667,1.8333333333333333,0.069492,11.8360344,0.6351341863463079,0.56,0.64,0.49333333333333335,0.56,0.2,1.1333333333333333,0.26666666666666666
PS_family_C,all,risky_ps,100,4.5,3.06,4.43653985,1.285,0.07136,9.00789985,0.5035505996205009,0.77,0.77,0.7,0.77,0.22,0.48,1.13
PS_family_C,all,risky_ps_direct_cost,100,5.815,3.685,4.4415653,1.555,0.07058800000000001,10.3271533,0.5669539294991863,0.66,0.74,0.62,0.66,0.15,0.67,1.1
PS_family_C,all,risky_ps_ix,100,5.41,3.895,4.64576225,1.5,0.070952,10.12671425,0.5379999910001849,0.72,0.78,0.68,0.72,0.17,0.59,1.23
PS_family_C,all,risky_ps_linear,100,6.645,4.47,4.47244795,1.435,0.07122700000000001,11.18867495,0.5977091172259548,0.62,0.75,0.59,0.62,0.21,0.6,1.07
PS_family_C,all,risky_ps_old,100,5.89,4.09,4.44607065,1.465,0.071275,10.40734565,0.569849046068585,0.66,0.76,0.63,0.66,0.17,0.62,1.07
PS_family_C,all,risky_ps_safe_conditional,100,5.02,3.395,4.48995285,1.455,0.070581,9.58053385,0.5278680219744728,0.73,0.73,0.67,0.73,0.18,0.63,1.02
PS_family_C,all,risky_ps_safe_conditional_ix,100,5.085,3.35,4.3908792,1.48,0.070652,9.5465312,0.5366256674103654,0.71,0.75,0.67,0.71,0.15,0.65,1.01
PS_family_C,post,risky_ps,75,6.0,4.08,4.296397466666667,1.22,0.07185333333333334,10.3682508,0.5827280871221483,0.6933333333333334,0.6933333333333334,0.6,0.6933333333333334,0.29333333333333333,0.64,0.52
PS_family_C,post,risky_ps_direct_cost,75,7.753333333333333,4.913333333333333,4.3602274,1.58,0.07122,12.184780733333334,0.640054027384219,0.5466666666666666,0.6533333333333333,0.49333333333333335,0.5466666666666666,0.2,0.8933333333333333,0.48
PS_family_C,post,risky_ps_ix,75,7.213333333333333,5.193333333333333,4.433639933333334,1.4466666666666668,0.07125200000000001,11.718225266666666,0.6193311488039305,0.6266666666666667,0.7066666666666667,0.5733333333333334,0.6266666666666667,0.22666666666666666,0.7866666666666666,0.5333333333333333
PS_family_C,post,risky_ps_linear,75,8.86,5.96,4.4128928,1.42,0.07207200000000001,13.3449648,0.6675259217041216,0.49333333333333335,0.6666666666666666,0.4533333333333333,0.49333333333333335,0.28,0.8,0.44
PS_family_C,post,risky_ps_old,75,7.8533333333333335,5.453333333333333,4.284280266666666,1.46,0.07212666666666667,12.209740266666667,0.6470244969186805,0.5466666666666666,0.68,0.5066666666666667,0.5466666666666666,0.22666666666666666,0.8266666666666667,0.44
PS_family_C,post,risky_ps_safe_conditional,75,6.693333333333333,4.526666666666666,4.3237212666666665,1.4466666666666668,0.07121066666666667,11.088265266666667,0.6075429029219237,0.64,0.64,0.56,0.64,0.24,0.84,0.37333333333333335
PS_family_C,post,risky_ps_safe_conditional_ix,75,6.78,4.466666666666667,4.301271466666667,1.48,0.07129733333333334,11.152568800000001,0.6118431463749238,0.6133333333333333,0.6666666666666666,0.56,0.6133333333333333,0.2,0.8666666666666667,0.36
