method,majority_pair,n,terminal,legacy_terminal,reasoning,mode_mismatch_cost,path,total,exact,exact_mode_match,clear_success_proxy,auxiliary_success_proxy,strict_clean,policy_clean,subset_clean,fast_on_deep,deep_on_fast,match_count,llm_calls
risky_ps,mostly_deep_vs_mostly_deep_required,70,5.628571428571429,3.942857142857143,4.224027785714286,1.042857142857143,0.07223857142857143,9.924837785714285,0.7285714285714285,0.3142857142857143,0.7285714285714285,0.7285714285714285,0.6285714285714286,0.7285714285714285,0.7285714285714285,0.5142857142857142,0.5428571428571428,3.942857142857143,13.028571428571428
risky_ps,mostly_deep_vs_mostly_fast_required,18,0.0,0.0,5.41447,1.75,0.07275555555555556,5.487225555555556,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,3.5,1.5,12.722222222222221
risky_ps,mostly_fast_vs_mostly_deep_required,5,11.2,6.0,5.309573,3.7,0.06646,16.576033000000002,0.2,0.0,0.2,0.2,0.2,0.2,0.2,2.4,0.2,2.4,11.6
risky_ps,mostly_fast_vs_mostly_fast_required,7,0.0,0.0,3.423387857142857,0.7857142857142857,0.06248571428571429,3.4858735714285713,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.5714285714285714,3.4285714285714284,10.857142857142858
risky_ps_direct_cost,mostly_deep_vs_mostly_deep_required,65,7.053846153846154,4.7384615384615385,4.297530846153846,1.2769230769230768,0.0722446153846154,11.423621615384615,0.6,0.23076923076923078,0.6,0.6923076923076923,0.5384615384615384,0.6923076923076923,0.6,0.676923076923077,0.5230769230769231,3.8,12.892307692307693
risky_ps_direct_cost,mostly_deep_vs_mostly_fast_required,18,0.0,0.0,5.119618888888889,1.75,0.07110555555555556,5.190724444444444,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,3.5,1.5,12.5
risky_ps_direct_cost,mostly_fast_vs_mostly_deep_required,10,12.3,6.05,4.767755,3.55,0.06456,17.132315,0.2,0.0,0.2,0.4,0.2,0.4,0.2,2.3,0.2,2.5,11.2
risky_ps_direct_cost,mostly_fast_vs_mostly_fast_required,7,0.0,0.0,3.5694764285714284,0.7857142857142857,0.06248571428571429,3.631962142857143,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.5714285714285714,3.4285714285714284,11.142857142857142
risky_ps_ix,mostly_deep_vs_mostly_deep_required,67,6.798507462686567,4.985074626865671,4.3426343283582085,1.208955223880597,0.07192388059701493,11.213065671641791,0.6567164179104478,0.2537313432835821,0.6567164179104478,0.746268656716418,0.5970149253731343,0.746268656716418,0.6567164179104478,0.6119402985074627,0.582089552238806,3.8059701492537314,13.164179104477611
risky_ps_ix,mostly_deep_vs_mostly_fast_required,20,0.0,0.0,5.75116075,1.875,0.07209,5.82325075,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,3.75,1.25,13.25
