method,mismatch_bucket,n,terminal,reasoning,path,total,exact,clear_success_proxy,auxiliary_success_proxy,strict_clean,policy_clean,subset_clean,fast_on_deep,deep_on_fast,match_count,llm_calls
direct_multistage_exp3,all_stage_modes_match,3,8.833333333333334,5.376051666666667,0.07266666666666667,14.282051666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,5.0,13.333333333333334
direct_multistage_exp3,both_mismatch_types,9,8.38888888888889,5.828652777777778,0.06777777777777778,14.285319444444443,0.1111111111111111,0.1111111111111111,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.1111111111111111,2.111111111111111,1.0,1.8888888888888888,13.222222222222221
direct_multistage_exp3,deep_on_fast_required,18,3.9444444444444446,5.346439166666666,0.07310000000000001,9.363983611111111,0.7777777777777778,0.7777777777777778,0.6666666666666666,0.6111111111111112,0.6666666666666666,0.7777777777777778,0.0,2.1666666666666665,2.8333333333333335,13.61111111111111
direct_multistage_exp3,fast_on_deep_required,10,8.9,5.2309075,0.06561,14.1965175,0.3,0.3,0.1,0.1,0.1,0.3,1.6,0.0,3.4,11.6
epsilon_exp3,all_stage_modes_match,6,9.916666666666666,4.956463333333334,0.07598333333333335,14.949113333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,5.0,12.833333333333334
epsilon_exp3,both_mismatch_types,8,8.5,5.6156331250000004,0.0684875,14.184120625,0.125,0.125,0.125,0.125,0.125,0.125,1.75,1.0,2.25,13.0
epsilon_exp3,deep_on_fast_required,14,3.7142857142857144,5.480898214285714,0.07194285714285714,9.267126785714286,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.7142857142857143,0.7857142857142857,0.7857142857142857,0.0,3.0,2.0,13.714285714285714
epsilon_exp3,fast_on_deep_required,12,9.0,5.103224166666667,0.06901666666666667,14.172240833333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.16666666666666666,0.16666666666666666,1.3333333333333333,0.0,3.6666666666666665,11.583333333333334
risky_ps_linear,all_stage_modes_match,6,13.916666666666666,5.122369166666667,0.07641666666666667,19.1154525,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.0,0.3333333333333333,0.16666666666666666,0.0,0.0,5.0,13.0
risky_ps_linear,both_mismatch_types,8,5.1875,5.65897625,0.067525,10.91400125,0.25,0.25,0.25,0.25,0.25,0.25,1.5,1.0,2.5,13.0
risky_ps_linear,deep_on_fast_required,15,4.566666666666666,5.048106333333333,0.07163333333333334,9.686406333333334,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.0,2.3333333333333335,2.6666666666666665,13.266666666666667
risky_ps_linear,fast_on_deep_required,11,10.727272727272727,5.243279090909091,0.06603636363636364,16.036588181818182,0.0,0.0,0.18181818181818182,0.0,0.18181818181818182,0.0,1.7272727272727273,0.0,3.272727272727273,11.636363636363637
