method,stage,required,actual,n_stage_observations,episode_n,terminal,reasoning,total,exact,strict_clean,clear_success_proxy,auxiliary_success_proxy
risky_ps_linear,ALL,deep,deep,89,29,11.325842696629213,5.387241011235955,16.78531629213483,0.15730337078651685,0.11235955056179775,0.15730337078651685,0.2696629213483146
risky_ps_linear,ALL,deep,fast,31,19,7.67741935483871,5.551760967741935,13.293802903225806,0.06451612903225806,0.06451612903225806,0.06451612903225806,0.12903225806451613
risky_ps_linear,ALL,fast,deep,43,23,2.558139534883721,5.023652441860465,7.652154767441861,0.7674418604651163,0.7674418604651163,0.7674418604651163,0.7674418604651163
risky_ps_linear,ALL,fast,fast,37,27,5.445945945945946,4.849523108108108,10.364128513513513,0.5675675675675675,0.5405405405405406,0.5675675675675675,0.6486486486486487
risky_ps_linear,stage1,fast,deep,19,19,5.7894736842105265,5.2549673684210525,11.114846315789473,0.47368421052631576,0.47368421052631576,0.47368421052631576,0.47368421052631576
risky_ps_linear,stage1,fast,fast,21,21,9.595238095238095,5.21711,14.88196238095238,0.23809523809523808,0.19047619047619047,0.23809523809523808,0.38095238095238093
risky_ps_linear,stage2,deep,deep,15,15,13.133333333333333,5.500036333333333,18.706963000000002,0.13333333333333333,0.06666666666666667,0.13333333333333333,0.2
risky_ps_linear,stage2,deep,fast,15,15,7.633333333333334,5.359447666666666,13.059721,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.26666666666666666
risky_ps_linear,stage2,fast,deep,1,1,0.0,4.71369,4.788889999999999,1.0,1.0,1.0,1.0
risky_ps_linear,stage2,fast,fast,9,9,0.0,4.644193333333334,4.712682222222222,1.0,1.0,1.0,1.0
risky_ps_linear,stage3,deep,deep,23,23,11.282608695652174,5.359481739130435,16.71426,0.17391304347826086,0.13043478260869565,0.17391304347826086,0.30434782608695654
risky_ps_linear,stage3,deep,fast,7,7,7.428571428571429,5.660597142857143,13.153182857142857,0.0,0.0,0.0,0.0
risky_ps_linear,stage3,fast,deep,6,6,0.0,4.935683333333333,5.005883333333333,1.0,1.0,1.0,1.0
risky_ps_linear,stage3,fast,fast,4,4,0.0,4.2243325,4.2919325,1.0,1.0,1.0,1.0
risky_ps_linear,stage4,deep,deep,24,24,11.583333333333334,5.356859375,17.012534375,0.16666666666666666,0.125,0.16666666666666666,0.2916666666666667
risky_ps_linear,stage4,deep,fast,6,6,5.583333333333333,5.7212724999999995,11.3665725,0.0,0.0,0.0,0.0
risky_ps_linear,stage4,fast,deep,9,9,0.0,4.780980555555556,4.850802777777778,1.0,1.0,1.0,1.0
risky_ps_linear,stage4,fast,fast,1,1,0.0,3.482605,3.545805,1.0,1.0,1.0,1.0
risky_ps_linear,stage5,deep,deep,27,27,10.12962962962963,5.375229629629629,15.576292592592592,0.14814814814814814,0.1111111111111111,0.14814814814814814,0.25925925925925924
risky_ps_linear,stage5,deep,fast,3,3,12.666666666666666,5.920353333333333,18.646786666666667,0.0,0.0,0.0,0.0
risky_ps_linear,stage5,fast,deep,8,8,0.0,4.8520075,4.922395,1.0,1.0,1.0,1.0
risky_ps_linear,stage5,fast,fast,2,2,0.0,3.8476850000000002,3.9119349999999997,1.0,1.0,1.0,1.0
