method,majority_pair,n,terminal,legacy_terminal,reasoning,mode_mismatch_cost,path,total,exact,exact_mode_match,clear_success_proxy,auxiliary_success_proxy,strict_clean,policy_clean,subset_clean,fast_on_deep,deep_on_fast,match_count,llm_calls
direct_multistage_exp3,mostly_deep_vs_mostly_deep_required,66,5.962121212121212,3.9545454545454546,4.1955670454545455,0.9924242424242424,0.07306363636363637,10.230751893939393,0.6818181818181818,0.2727272727272727,0.6818181818181818,0.7424242424242424,0.5606060606060606,0.7424242424242424,0.6818181818181818,0.5151515151515151,0.4393939393939394,4.045454545454546,12.893939393939394
direct_multistage_exp3,mostly_deep_vs_mostly_fast_required,17,0.5882352941176471,0.17647058823529413,5.836940294117647,1.7647058823529411,0.07001176470588236,6.495187352941176,0.9411764705882353,0.0,0.9411764705882353,1.0,0.9411764705882353,1.0,0.9411764705882353,0.0,3.5294117647058822,1.4705882352941178,13.117647058823529
direct_multistage_exp3,mostly_fast_vs_mostly_deep_required,9,9.722222222222221,4.5,5.185457222222222,3.5555555555555554,0.06312222222222223,14.970801666666667,0.4444444444444444,0.0,0.4444444444444444,0.4444444444444444,0.3333333333333333,0.4444444444444444,0.4444444444444444,2.3333333333333335,0.1111111111111111,2.5555555555555554,11.444444444444445
direct_multistage_exp3,mostly_fast_vs_mostly_fast_required,8,0.0,0.0,4.035856875,0.8125,0.066875,4.102731875,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.625,3.375,11.5
epsilon_exp3,mostly_deep_vs_mostly_deep_required,56,6.526785714285714,4.044642857142857,4.020448660714286,1.2053571428571428,0.07135535714285715,10.618589732142857,0.625,0.26785714285714285,0.625,0.7142857142857143,0.5357142857142857,0.7142857142857143,0.625,0.6964285714285714,0.32142857142857145,3.982142857142857,12.267857142857142
epsilon_exp3,mostly_deep_vs_mostly_fast_required,20,0.0,0.0,6.6019495,1.925,0.07137,6.6733195,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,3.85,1.15,14.2
epsilon_exp3,mostly_fast_vs_mostly_deep_required,19,10.263157894736842,5.894736842105263,5.097134473684211,3.6842105263157894,0.064,15.424292368421053,0.3684210526315789,0.0,0.3684210526315789,0.42105263157894735,0.3684210526315789,0.42105263157894735,0.3684210526315789,2.4210526315789473,0.10526315789473684,2.473684210526316,11.157894736842104
epsilon_exp3,mostly_fast_vs_mostly_fast_required,5,0.0,0.0,5.604647,1.0,0.06626,5.670907,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,3.0,12.8
risky_ps_linear,mostly_deep_vs_mostly_deep_required,67,6.2388059701492535,4.2835820895522385,4.209948059701492,0.9850746268656716,0.07256865671641792,10.521322686567164,0.6417910447761194,0.2537313432835821,0.6417910447761194,0.7313432835820896,0.5671641791044776,0.7313432835820896,0.6417910447761194,0.4925373134328358,0.4925373134328358,4.014925373134329,12.985074626865671
risky_ps_linear,mostly_deep_vs_mostly_fast_required,19,0.5263157894736842,0.15789473684210525,5.595048157894737,1.763157894736842,0.07167368421052632,6.193037631578948,0.9473684210526315,0.0,0.9473684210526315,1.0,0.9473684210526315,1.0,0.9473684210526315,0.0,3.526315789473684,1.4736842105263157,12.736842105263158
risky_ps_linear,mostly_fast_vs_mostly_deep_required,8,11.0,6.625,4.544115,3.1875,0.065925,15.61004,0.375,0.0,0.375,0.5,0.375,0.5,0.375,2.125,0.0,2.875,10.875
risky_ps_linear,mostly_fast_vs_mostly_fast_required,6,0.0,0.0,3.7443275,0.8333333333333334,0.06213333333333334,3.8064608333333334,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.6666666666666667,3.3333333333333335,11.5
