method,total_cost_mean,raw_total_cost_mean,raw_total_cost_api_mean,raw_total_cost_token_mean,raw_outcome_penalty_mean,raw_policy_penalty_mean,raw_terminal_penalty_mean,legacy_raw_terminal_penalty_mean,raw_terminal_penalty_exec_clean_v4_mean,raw_path_cost_component_mean,raw_reasoning_cost_component_mean,raw_mode_mismatch_cost_component_mean,raw_reasoning_cost_component_api_mean,raw_reasoning_cost_component_token_mean,exact_match_mean,mean_llm_call_count,mean_total_tokens,mean_api_cost_usd_raw,mean_generation_time_seconds,mean_episode_wall_clock_seconds
direct_multistage_exp3,0.2566523640280021,9.5320688,5.47343392,9.5320688,2.605,0.44,4.91,3.045,4.91,0.07115500000000001,4.5509138,1.34,0.49227891999999995,4.5509138,0.73,12.69,47448.04,0.005482291499999999,39.06506274247542,41.74711855944246
risky_ps_linear,0.2612588637587507,9.7031542,5.69960664,9.7031542,2.99,0.44,5.16,3.43,5.16,0.071241,4.4719132,1.3,0.46836564,4.4719132,0.7,12.68,46943.34,0.0052932495000000005,39.47499666351825,42.14203021198511
epsilon_exp3,0.2825857579429187,10.495235050000002,6.17635326,10.495235050000002,2.845,0.54,5.605,3.385,5.605,0.069706,4.82052905,1.81,0.50164726,4.82052905,0.67,12.47,47413.95,0.005272977,38.21825826408342,40.89343985341489
