method,mismatch_bucket,n,terminal,legacy_terminal,reasoning,mode_mismatch_cost,path,total,exact,exact_mode_match,clear_success_proxy,auxiliary_success_proxy,strict_clean,policy_clean,subset_clean,fast_on_deep,deep_on_fast,match_count,llm_calls
direct_multistage_exp3,all_stage_modes_match,18,5.722222222222222,3.0555555555555554,3.7592061111111112,0.0,0.07391111111111112,9.555339444444444,0.7222222222222222,1.0,0.7222222222222222,0.6666666666666666,0.4444444444444444,0.6666666666666666,0.7222222222222222,0.0,0.0,5.0,12.722222222222221
direct_multistage_exp3,both_mismatch_types,12,5.416666666666667,3.6666666666666665,4.797785833333333,2.75,0.07020833333333333,10.284660833333334,0.6666666666666666,0.0,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.8333333333333334,0.6666666666666666,1.5,1.0,2.5,12.833333333333334
direct_multistage_exp3,deep_on_fast_required,43,2.372093023255814,1.558139534883721,4.954131860465116,1.058139534883721,0.07193953488372093,7.398164418604651,0.8604651162790697,0.0,0.8604651162790697,0.9302325581395349,0.813953488372093,0.9302325581395349,0.8604651162790697,0.0,2.116279069767442,2.883720930232558,13.44186046511628
direct_multistage_exp3,fast_on_deep_required,27,8.185185185185185,5.12962962962963,4.326835925925926,2.0555555555555554,0.06848888888888889,12.58051,0.5555555555555556,0.0,0.5555555555555556,0.5925925925925926,0.48148148148148145,0.5925925925925926,0.5555555555555556,1.3703703703703705,0.0,3.6296296296296298,11.407407407407407
epsilon_exp3,all_stage_modes_match,15,10.133333333333333,7.666666666666667,3.7421393333333333,0.0,0.07474666666666667,13.950219333333333,0.5333333333333333,1.0,0.5333333333333333,0.6666666666666666,0.4,0.6666666666666666,0.5333333333333333,0.0,0.0,5.0,12.533333333333333
epsilon_exp3,both_mismatch_types,14,5.0,1.7142857142857142,4.67654,2.857142857142857,0.06794285714285714,9.744482857142858,0.5714285714285714,0.0,0.5714285714285714,0.7142857142857143,0.5714285714285714,0.7142857142857143,0.5714285714285714,1.5714285714285714,1.0,2.4285714285714284,12.571428571428571
epsilon_exp3,deep_on_fast_required,31,1.3064516129032258,0.7580645161290323,5.991104032258065,1.5,0.07164516129032258,7.369200806451613,0.9354838709677419,0.0,0.9354838709677419,0.9354838709677419,0.8709677419354839,0.9354838709677419,0.9354838709677419,0.0,3.0,2.0,13.96774193548387
epsilon_exp3,fast_on_deep_required,40,7.45,4.4,4.36812575,2.3625,0.06693,11.88505575,0.55,0.0,0.55,0.6,0.525,0.6,0.55,1.575,0.0,3.425,11.25
risky_ps_linear,all_stage_modes_match,17,9.882352941176471,7.176470588235294,3.9099323529411767,0.0,0.07306470588235295,13.86535,0.47058823529411764,1.0,0.47058823529411764,0.5882352941176471,0.35294117647058826,0.5882352941176471,0.47058823529411764,0.0,0.0,5.0,12.588235294117647
risky_ps_linear,both_mismatch_types,11,11.136363636363637,8.954545454545455,4.845272272727272,2.6818181818181817,0.06844545454545455,16.050081363636362,0.45454545454545453,0.0,0.45454545454545453,0.5454545454545454,0.45454545454545453,0.5454545454545454,0.45454545454545453,1.4545454545454546,1.0,2.5454545454545454,12.818181818181818
risky_ps_linear,deep_on_fast_required,47,1.627659574468085,0.8404255319148937,4.782653191489362,1.053191489361702,0.0724531914893617,6.482765957446809,0.8936170212765957,0.0,0.8936170212765957,0.9361702127659575,0.8297872340425532,0.9361702127659575,0.8936170212765957,0.0,2.106382978723404,2.893617021276596,13.404255319148936
risky_ps_linear,fast_on_deep_required,25,5.96,3.32,4.105591,2.04,0.068952,10.134543,0.6,0.0,0.6,0.72,0.6,0.72,0.6,1.36,0.0,3.64,11.32
