method,total_cost_mean,raw_total_cost_mean,raw_total_cost_api_mean,raw_total_cost_token_mean,raw_outcome_penalty_mean,raw_policy_penalty_mean,raw_terminal_penalty_mean,raw_path_cost_component_mean,raw_reasoning_cost_component_mean,raw_reasoning_cost_component_api_mean,raw_reasoning_cost_component_token_mean,exact_match_mean,mean_llm_call_count,mean_total_tokens,mean_api_cost_usd_raw,mean_generation_time_seconds,mean_episode_wall_clock_seconds
direct_multistage_exp3,0.3957489891369946,13.1151215,8.6521976,13.1151215,6.75,1.3,8.05,0.0688,4.9963215,0.5333976,4.9963215,0.15,12.1,46711.45,0.005372445,39.27522199330851,42.28939685244113
risky_ps_linear,0.4130133826191913,13.6872635,9.289883900000001,13.6872635,7.525,1.1,8.625,0.070155,4.9921085,0.5947289,4.9921085,0.2,12.05,47394.3,0.006116745,39.22834282061085,42.33536673597992
epsilon_exp3,0.5075689951719975,16.8208365,12.2023621,16.8208365,10.6,1.0,11.6,0.06899000000000001,5.1518464999999996,0.5333721,5.1518464999999996,0.2,12.65,49522.3,0.005541165,41.19911012165248,44.33464929172769
