method,schedule_phase,majority_pair,n,terminal,legacy_terminal,reasoning,mode_mismatch_cost,path,total,exact,exact_mode_match,clear_success_proxy,auxiliary_success_proxy,strict_clean,policy_clean,subset_clean,fast_on_deep,deep_on_fast,match_count,llm_calls
risky_ps,target_post_switch,mostly_deep_vs_mostly_deep_required,63,8.261904761904763,6.134920634920635,4.2749814285714285,1.3253968253968254,0.07254444444444445,12.609430634920635,0.5555555555555556,0.2222222222222222,0.5555555555555556,0.6190476190476191,0.5079365079365079,0.6190476190476191,0.5555555555555556,0.7619047619047619,0.36507936507936506,3.873015873015873,12.476190476190476
risky_ps,target_post_switch,mostly_fast_vs_mostly_deep_required,12,4.375,2.7916666666666665,4.727027916666667,3.3333333333333335,0.065525,9.167552916666667,0.75,0.0,0.75,0.8333333333333334,0.75,0.8333333333333334,0.75,2.1666666666666665,0.16666666666666666,2.6666666666666665,11.416666666666666
risky_ps,trap_pre_switch,mostly_deep_vs_mostly_fast_required,16,0.0,0.0,5.7467290625,1.9375,0.07326250000000001,5.8199915625,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,3.875,1.125,13.375
risky_ps,trap_pre_switch,mostly_fast_vs_mostly_fast_required,9,0.0,0.0,3.4651394444444445,0.8888888888888888,0.06248888888888889,3.5276283333333334,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.7777777777777777,3.2222222222222223,10.555555555555555
