run,seed,variant,split,n,complete,total,terminal,legacy_terminal,reasoning,modecost_report,clear,aux,strict,final_transfer,rtp_ge_14
historical,seed0,old_risky_ps,all,100,True,9.00789985,4.5,3.06,4.43653985,1.285,0.77,0.77,0.7,10,20
historical,seed0,old_risky_ps,post,75,True,10.3682508,6.0,4.08,4.296397466666667,1.22,0.6933333333333334,0.6933333333333334,0.6,10,20
historical,seed0,direct,all,100,True,9.5320688,4.91,3.045,4.5509138,1.34,0.73,0.78,0.64,10,18
historical,seed0,direct,post,75,True,10.799557866666667,6.413333333333333,4.02,4.314353866666667,1.3,0.6533333333333333,0.7066666666666667,0.5333333333333333,10,18
historical,seed0,epsilon,all,100,True,10.495235050000002,5.605,3.385,4.82052905,1.81,0.67,0.73,0.62,9,22
historical,seed0,epsilon,post,75,True,11.8360344,7.473333333333334,4.513333333333334,4.293209066666667,1.8333333333333333,0.56,0.64,0.49333333333333335,9,22
historical,seed0,risky_ps_linear,all,100,True,9.7031542,5.16,3.43,4.4719132,1.3,0.7,0.78,0.65,10,19
historical,seed0,risky_ps_linear,post,75,True,11.0641192,6.746666666666667,4.533333333333333,4.245592533333333,1.22,0.6133333333333333,0.7066666666666667,0.5466666666666666,10,19
historical,seed1,old_risky_ps,all,100,True,10.50387505,5.985,3.945,4.4491010499999994,1.665,0.65,0.7,0.62,11,23
historical,seed1,old_risky_ps,post,75,True,12.436484466666666,7.98,5.26,4.386580466666667,1.7,0.5333333333333333,0.6,0.49333333333333335,11,23
historical,seed1,direct,all,100,True,9.89782395,5.115,3.18,4.71238195,1.825,0.71,0.76,0.63,8,19
historical,seed1,direct,post,75,True,11.1530334,6.58,4.18,4.502814733333333,1.86,0.6266666666666667,0.68,0.52,7,18
historical,seed1,epsilon,all,100,True,9.6123445,5.03,3.145,4.5116715,1.49,0.72,0.75,0.64,11,16
historical,seed1,epsilon,post,75,True,11.113883466666666,6.706666666666667,4.193333333333333,4.3363488,1.4466666666666668,0.6266666666666667,0.6666666666666666,0.52,11,16
new_full,seed1,eta_shared002,all,100,True,10.46374805,5.8,3.725,4.59339705,1.69,0.67,0.72,0.62,11,27
new_full,seed1,eta_shared002,post,75,True,12.301494,7.733333333333333,4.966666666666667,4.497487333333334,1.7333333333333334,0.56,0.6266666666666667,0.49333333333333335,11,27
new_full,seed1,probfloor0002,all,100,True,10.29273285,5.73,4.2,4.49182085,1.625,0.69,0.74,0.66,14,24
new_full,seed1,probfloor0002,post,75,True,12.0587302,7.64,5.6,4.347308866666666,1.6466666666666667,0.5866666666666667,0.6533333333333333,0.5466666666666666,14,24
new_early_stopped,seed0,eta_shared002,all,78,False,9.934330961538462,5.032051282051282,3.2371794871794872,4.8310886538461535,1.4807692307692308,0.7051282051282052,0.7692307692307693,0.6538461538461539,7,16
new_early_stopped,seed0,eta_shared002,post,53,False,11.799001132075473,7.216981132075472,4.7075471698113205,4.510327547169811,1.4056603773584906,0.5849056603773585,0.660377358490566,0.5094339622641509,7,16
new_early_stopped,seed0,clip100,all,79,False,11.541084303797469,6.550632911392405,4.7784810126582276,4.920702025316456,1.7531645569620253,0.6582278481012658,0.7848101265822784,0.6075949367088608,15,23
new_early_stopped,seed0,clip100,post,54,False,14.097719537037037,9.398148148148149,6.935185185185185,4.629649166666667,1.8425925925925926,0.5185185185185185,0.6851851851851852,0.4444444444444444,15,23
new_early_stopped,seed0,probfloor0002,all,78,False,10.047155320512822,5.256410256410256,3.6538461538461537,4.719241217948718,1.2692307692307692,0.7307692307692307,0.782051282051282,0.6666666666666666,10,17
new_early_stopped,seed0,probfloor0002,post,53,False,12.380071981132076,7.735849056603773,5.377358490566038,4.571762547169811,1.169811320754717,0.6037735849056604,0.6792452830188679,0.5094339622641509,10,17
new_early_stopped,seed1,clip100,all,79,False,10.020471772151899,5.094936708860759,3.5,4.854948987341772,1.8227848101265822,0.7215189873417721,0.7848101265822784,0.6582278481012658,8,16
new_early_stopped,seed1,clip100,post,54,False,12.25405435185185,7.453703703703703,5.12037037037037,4.729376574074074,1.9444444444444444,0.5925925925925926,0.6851851851851852,0.5,8,16
