run,seed,variant,n,prob_floor,loss_clip,path_prob_min,path_prob_p10,path_prob_median,path_prob_p90,path_prob_below_floor_frac,edge_prob_below_floor_frac,shared_est_loss_mean,shared_est_loss_p90,shared_est_loss_max,edge_est_loss_mean,edge_est_loss_p90,edge_est_loss_max,clip_hit_frac
historical,seed0,old_risky_ps,100,0.0,,0.0003542602169184367,0.00119246359264973,0.008970424359061716,0.06102964707480303,0.0,0.0,43.05555895337859,122.50457503743985,252.46302486730173,15.848088378258756,39.44989569948865,397.5408168969537,0.0
historical,seed0,direct,100,0.0,,0.00030263164697701567,0.001339825462405308,0.005092373938784188,0.0866243398477746,0.0,0,0.0,0.0,0,0.0,0.0,0,0
historical,seed0,epsilon,100,0.0,,0.000572564182413712,0.0016942067148821142,0.0077782297849113705,0.04098877268048575,0.0,0,0.0,0.0,0,0.0,0.0,0,0
historical,seed0,risky_ps_linear,100,0.0,,9.937562536398139e-05,0.0011367504461917129,0.008575188081027153,0.07811214216647566,0.0,0.0,67.35419662411317,172.7871242289308,1055.4446970347674,44.09956346279445,31.873050914322302,7289.436385979233,0.0
historical,seed1,old_risky_ps,100,0.0,,0.00022812668422328346,0.0016706773487812833,0.008649421615913106,0.037232477895358315,0.0,0.0,80.8021331558639,157.4545644551907,2507.384649914724,24.35499918744988,39.36364111379768,2507.384649914724,0.0
historical,seed1,direct,100,0.0,,0.0009183299942325106,0.0015807100447682674,0.006909567583127727,0.04093815313602077,0.0,0,0.0,0.0,0,0.0,0.0,0,0
historical,seed1,epsilon,100,0.0,,0.00010530073557861042,0.0017223813194663898,0.008189836443392728,0.13269331145934857,0.0,0,0.0,0.0,0,0.0,0.0,0,0
new_full,seed1,eta_shared002,100,0.0,,0.000566418925472507,0.0017223403166451623,0.007566197439517414,0.038785666840192634,0.0,0.0,64.32349571126842,157.75542529397455,912.6823476577904,15.23076042797668,32.17625087314311,912.6823476577904,0.0
new_full,seed1,probfloor0002,100,0.002,,0.0005588942236027613,0.0018388077984633606,0.006066222013013483,0.025458676623183085,0.12,0.022922636103151862,48.78205469500477,110.80532323133902,370.1007000538503,11.448592636549165,24.54414011306354,370.1007000538503,0.0
new_early_stopped,seed0,eta_shared002,78,0.0,,0.00039514319928230456,0.0013823157115696425,0.007739257941754231,0.03835320618427033,0.0,0.0,62.66113529950531,122.72650523511584,560.838765600216,14.924289758380768,35.0524228500135,560.838765600216,0.0
new_early_stopped,seed0,clip100,79,0.0,100.0,0.0002636015350177552,0.001393966425655937,0.007967600196298682,0.02922923731459818,0.0,0.0,44.36834727337112,100.0,100.0,11.141567039219021,25.738774982874965,100.0,0.0647887323943662
new_early_stopped,seed0,probfloor0002,78,0.002,,0.00012842760490157644,0.001389166419572049,0.005741072831650504,0.0783529009767198,0.21794871794871795,0.05078125,46.807394728142086,122.24999999999999,268.8178855049174,12.157577594329174,40.10571125895469,250.24845180398492,0.0
new_early_stopped,seed1,clip100,79,0.0,100.0,0.0002012416843519099,0.0014883863692890013,0.006306123120145211,0.02657669835852665,0.0,0.0,41.85416610988372,100.0,100.0,12.655265998974746,43.67209330516406,100.0,0.05898876404494382
