run,seed,variant,pair,n,total,terminal,reasoning,modecost_report,clear,aux,strict
historical,seed0,old_risky_ps,mostly_deep_vs_mostly_deep_required,70,9.924837785714287,5.628571428571429,4.224027785714285,1.042857142857143,0.7285714285714285,0.7285714285714285,0.6285714285714286
historical,seed0,old_risky_ps,mostly_fast_vs_mostly_deep_required,5,16.576033000000002,11.2,5.309573,3.7,0.2,0.2,0.2
historical,seed0,direct,mostly_deep_vs_mostly_deep_required,66,10.230751893939395,5.962121212121212,4.1955670454545455,0.9924242424242424,0.6818181818181818,0.7424242424242424,0.5606060606060606
historical,seed0,direct,mostly_fast_vs_mostly_deep_required,9,14.970801666666667,9.722222222222221,5.185457222222222,3.5555555555555554,0.4444444444444444,0.4444444444444444,0.3333333333333333
historical,seed0,epsilon,mostly_deep_vs_mostly_deep_required,56,10.618589732142857,6.526785714285714,4.020448660714286,1.2053571428571428,0.625,0.7142857142857143,0.5357142857142857
historical,seed0,epsilon,mostly_fast_vs_mostly_deep_required,19,15.424292368421053,10.263157894736842,5.097134473684211,3.6842105263157894,0.3684210526315789,0.42105263157894735,0.3684210526315789
historical,seed0,risky_ps_linear,mostly_deep_vs_mostly_deep_required,67,10.521322686567165,6.2388059701492535,4.209948059701493,0.9850746268656716,0.6417910447761194,0.7313432835820896,0.5671641791044776
historical,seed0,risky_ps_linear,mostly_fast_vs_mostly_deep_required,8,15.61004,11.0,4.544115,3.1875,0.375,0.5,0.375
historical,seed1,old_risky_ps,mostly_deep_vs_mostly_deep_required,61,11.663092704918034,7.360655737704918,4.230973032786886,1.1721311475409837,0.5737704918032787,0.639344262295082,0.5245901639344263
historical,seed1,old_risky_ps,mostly_fast_vs_mostly_deep_required,14,15.806262857142857,10.678571428571429,5.064584285714285,4.0,0.35714285714285715,0.42857142857142855,0.35714285714285715
historical,seed1,direct,mostly_deep_vs_mostly_deep_required,58,11.130184310344829,6.767241379310345,4.29103775862069,1.2413793103448276,0.6206896551724138,0.6896551724137931,0.5172413793103449
historical,seed1,direct,mostly_fast_vs_mostly_deep_required,17,11.23098911764706,5.9411764705882355,5.225347941176471,3.9705882352941178,0.6470588235294118,0.6470588235294118,0.5294117647058824
historical,seed1,epsilon,mostly_deep_vs_mostly_deep_required,60,10.916891833333333,6.683333333333334,4.1606335,0.825,0.6166666666666667,0.6833333333333333,0.5
historical,seed1,epsilon,mostly_fast_vs_mostly_deep_required,15,11.90185,6.8,5.03921,3.933333333333333,0.6666666666666666,0.6,0.6
new_full,seed1,eta_shared002,mostly_deep_vs_mostly_deep_required,57,11.97451596491228,7.526315789473684,4.375624736842105,1.0614035087719298,0.5964912280701754,0.6842105263157895,0.5087719298245614
new_full,seed1,eta_shared002,mostly_fast_vs_mostly_deep_required,18,13.336924444444444,8.38888888888889,4.883385555555555,3.861111111111111,0.4444444444444444,0.4444444444444444,0.4444444444444444
new_full,seed1,probfloor0002,mostly_deep_vs_mostly_deep_required,63,12.609430634920635,8.261904761904763,4.2749814285714285,1.3253968253968254,0.5555555555555556,0.6190476190476191,0.5079365079365079
new_full,seed1,probfloor0002,mostly_fast_vs_mostly_deep_required,12,9.167552916666667,4.375,4.727027916666667,3.3333333333333335,0.75,0.8333333333333334,0.75
new_early_stopped,seed0,eta_shared002,mostly_deep_vs_mostly_deep_required,42,12.12989011904762,7.7023809523809526,4.354756785714286,0.9166666666666666,0.5714285714285714,0.6666666666666666,0.47619047619047616
new_early_stopped,seed0,eta_shared002,mostly_fast_vs_mostly_deep_required,11,10.535606818181819,5.363636363636363,5.104325,3.272727272727273,0.6363636363636364,0.6363636363636364,0.6363636363636364
new_early_stopped,seed0,clip100,mostly_deep_vs_mostly_deep_required,43,14.262307209302326,9.709302325581396,4.481835116279069,1.255813953488372,0.5116279069767442,0.6744186046511628,0.4186046511627907
new_early_stopped,seed0,clip100,mostly_fast_vs_mostly_deep_required,11,13.454331363636364,8.181818181818182,5.207467727272728,4.136363636363637,0.5454545454545454,0.7272727272727273,0.5454545454545454
new_early_stopped,seed0,probfloor0002,mostly_deep_vs_mostly_deep_required,51,12.419997352941175,7.764705882352941,4.5826110784313725,1.0980392156862746,0.6078431372549019,0.6862745098039216,0.5098039215686274
new_early_stopped,seed0,probfloor0002,mostly_fast_vs_mostly_deep_required,2,11.361975000000001,7.0,4.2951250000000005,3.0,0.5,0.5,0.5
new_early_stopped,seed1,clip100,mostly_deep_vs_mostly_deep_required,42,11.916303928571429,7.238095238095238,4.605346785714286,1.4404761904761905,0.5952380952380952,0.7142857142857143,0.47619047619047616
new_early_stopped,seed1,clip100,mostly_fast_vs_mostly_deep_required,12,13.436180833333333,8.208333333333334,5.163480833333334,3.7083333333333335,0.5833333333333334,0.5833333333333334,0.5833333333333334
