seed,name,n,post_n,cum_total,cum_terminal,post_total,post_terminal,clear,post_clear,roll5_total,roll10_total,roll5_post_terminal,roll10_post_terminal
seed0,clip100,77,52,11.34642,6.337662337662338,13.90779875,9.192307692307692,0.6623376623376623,0.5192307692307693,14.14675,14.845691499999997,7.7,9.1
seed0,eta_shared002,77,52,9.709043571428571,4.805194805194805,11.501261538461538,6.923076923076923,0.7142857142857143,0.5961538461538461,11.422498000000001,11.2649755,6.9,6.85
seed0,probfloor0002,77,52,9.811126688311688,5.01948051948052,12.075431826923078,7.4326923076923075,0.7402597402597403,0.6153846153846154,12.202948000000001,12.770377,6.9,7.85
seed0,old_risky_ps,77,52,8.429995844155844,3.9220779220779223,10.114202019230769,5.8076923076923075,0.7922077922077922,0.6923076923076923,8.511849999999999,9.35114,4.5,5.1
seed1,clip100,78,53,9.95617846153846,5.032051282051282,12.201577075471699,7.40566037735849,0.7307692307692307,0.6037735849056604,12.256184999999999,12.8256835,8.1,7.7
seed1,eta_shared002,78,53,9.935586089743591,5.237179487179487,12.287036981132074,7.7075471698113205,0.717948717948718,0.5849056603773585,12.21417,10.5739035,7.9,5.65
seed1,probfloor0002,78,53,9.77108076923077,5.121794871794871,12.024071320754716,7.537735849056604,0.7307692307692307,0.6037735849056604,16.012931000000002,13.1783815,11.6,9.0
seed1,old_risky_ps,78,53,9.880997371794873,5.384615384615385,12.32201179245283,7.9245283018867925,0.6923076923076923,0.5471698113207547,15.560626,12.260967,11.2,8.15
seed1,direct,78,53,9.35612717948718,4.519230769230769,10.87684962264151,6.311320754716981,0.7435897435897436,0.6415094339622641,12.974106,9.211444,8.4,4.8
seed1,epsilon,78,53,9.497192307692307,4.846153846153846,11.567694528301887,7.132075471698113,0.7307692307692307,0.6037735849056604,13.187512000000002,9.206498,9.1,5.15
