seed,method,last5_selected_trap_like_rate,last5_selected_all_trap_rate,avg_trap_path_probability_product,avg_stage1_trap_child_prob,avg_stage2_trap_child_prob,avg_stage3_trap_child_prob,avg_stage4_trap_child_prob,avg_stage5_trap_child_prob
0,risky_ps,0.2,0.2,0.08073341616883122,0.16978397683879284,1.0,1.0,0.4751103310937893,1.0
0,risky_ps_old,0.2,0.2,0.07640092950262915,0.16250047063643644,1.0,1.0,0.46964638583494384,1.0
0,direct_multistage_exp3,0.0,0.0,0.10628172675664452,0.15956530840606165,1.0,1.0,0.6660703872183725,1.0
0,epsilon_exp3,0.6,0.2,0.17269091828174332,0.24705787010496016,1.0,1.0,0.7021497130136047,1.0
1,risky_ps,0.2,0.0,0.23248186630120787,0.3638841875677492,1.0,1.0,0.638899717146912,1.0
1,risky_ps_old,0.2,0.0,0.23994441482319173,0.36537341444240784,1.0,1.0,0.6567107171501105,1.0
1,direct_multistage_exp3,0.0,0.0,0.2048056286684492,0.28357224179434076,1.0,1.0,0.7222344026781838,1.0
1,epsilon_exp3,0.6,0.4,0.1592908260852965,0.27406281289691925,1.0,1.0,0.5805009932099161,1.0
