seed,method,episode_index,post_episode_count,post_switch_cumulative_total_cost_per_episode,post_switch_cumulative_raw_total_per_episode,total_cost,raw_total_cost
0,risky_ps,25,1,0.13121486268174476,4.8733200000000005,0.13121486268174476,4.8733200000000005
0,risky_ps,26,2,0.21946284329563814,8.15085,0.30771082390953153,11.42838
0,risky_ps,27,3,0.34379851014180574,12.768676666666666,0.592469843834141,22.00433
0,risky_ps,28,4,0.3846153406031233,14.28461375,0.5070658319870759,18.832425
0,risky_ps,29,5,0.33301365105008074,12.368127,0.1266068928379106,4.70218
0,risky_ps,30,6,0.29862428199605096,11.090905833333332,0.126677436725902,4.7048000000000005
0,risky_ps,31,7,0.27423488345257324,10.185083571428573,0.12789849219170707,4.7501500000000005
0,risky_ps,32,8,0.2542195240980075,9.441713125,0.1141120086160474,4.23812
0,risky_ps,33,9,0.2380156016274756,8.839899444444445,0.10838422186322023,4.02539
0,risky_ps,34,10,0.22762691168551424,8.4540635,0.13412870220786213,4.98154
0,risky_ps,35,11,0.21729915063396482,8.070490454545453,0.11402154011847064,4.23476
0,risky_ps,36,12,0.2504563476036618,9.30194875,0.6151855142703284,22.84799
0,risky_ps,37,13,0.2751879582453088,10.220480769230768,0.5719672859450726,21.242865
0,risky_ps,38,14,0.2889658819909223,10.732192857142858,0.4680788906838988,17.38445
0,risky_ps,39,15,0.2791012475318614,10.365820333333334,0.14099636510500807,5.236605
0,risky_ps,40,16,0.27035430970651586,10.040959062499999,0.13915024232633277,5.1680399999999995
0,risky_ps,41,17,0.26278642022237003,9.759887647058822,0.1417001884760366,5.262745
0,risky_ps,42,18,0.25581403697720334,9.500933333333332,0.13728352180936995,5.09871
0,risky_ps,43,19,0.24878325255788902,9.23981,0.12222913301023154,4.53959
0,risky_ps,44,20,0.26483030425417337,9.8357975,0.5697242864835756,21.15956
0,risky_ps,45,21,0.25786837449034533,9.577231428571428,0.11862977921378566,4.4059099999999995
0,risky_ps,46,22,0.2741131345767856,10.180561818181818,0.6152530963920302,22.8505
0,risky_ps,47,23,0.27635545878111023,10.263841739130436,0.325686591276252,12.096
0,risky_ps,48,24,0.2879205595943277,10.693369583333334,0.5539178782983306,20.57251
0,risky_ps,49,25,0.2821869359181475,10.480422800000001,0.1445799676898223,5.3697
0,risky_ps,50,26,0.27549328942463025,10.23182076923077,0.10815212708669898,4.01677
0,risky_ps,51,27,0.2687953589022517,9.983059629629631,0.09464916532040926,3.51527
0,risky_ps,52,28,0.26421407896761284,9.812910892857143,0.140519520732364,5.218895
0,risky_ps,53,29,0.2593891473084136,9.633712931034482,0.12429106085083466,4.616169999999999
0,risky_ps,54,30,0.2557553446418955,9.4987535,0.15037506731287023,5.58493
0,risky_ps,55,31,0.2659483037156704,9.87732,0.5717370759289176,21.234315000000002
0,risky_ps,56,32,0.2757496844709208,10.24134328125,0.5795924878836833,21.526065
0,risky_ps,57,33,0.27667239845955516,10.275612878787879,0.3061992460958536,11.372240000000001
0,risky_ps,58,34,0.28539270328486804,10.599485,0.5731627625201938,21.287264999999998
0,risky_ps,59,35,0.2807247942149396,10.426118857142857,0.1220158858373721,4.53167
0,risky_ps,60,36,0.2758364446837791,10.244565555555555,0.104744211093161,3.8901999999999997
0,risky_ps,61,37,0.27081900478831017,10.058217837837837,0.09019116855142703,3.3497
0,risky_ps,62,38,0.26648011790380643,9.897071578947367,0.10594130317716748,3.93466
0,risky_ps,63,39,0.2633094597020284,9.779313333333333,0.14282444803446417,5.3045
0,risky_ps,64,40,0.2603945207323641,9.671052499999998,0.14671190091545502,5.44888
0,risky_ps,65,41,0.2676087152107386,9.938987682926827,0.5561764943457189,20.656395
0,risky_ps,66,42,0.268843183450009,9.984835833333332,0.3194563812600969,11.864609999999999
0,risky_ps,67,43,0.2742893232395337,10.187105465116277,0.5030271943995692,18.68243
0,risky_ps,68,44,0.2825034298967054,10.492177386363634,0.6357100161550888,23.61027
0,risky_ps,69,45,0.2793722581224197,10.375885666666665,0.1416007000538503,5.25905
0,risky_ps,70,46,0.2760903309451898,10.253994891304346,0.12840360796984382,4.76891
0,risky_ps,71,47,0.2722248049358953,10.110429255319149,0.0944106085083468,3.5064100000000002
0,risky_ps,72,48,0.2701169925731467,10.032145104166666,0.1710498115239634,6.352790000000001
0,risky_ps,73,49,0.2671419257525305,9.921651122448978,0.12433871836295099,4.61794
0,risky_ps,74,50,0.2725199811523964,10.1213921,0.5360446957458266,19.9087
0,risky_ps,75,51,0.270543367966465,10.047980686274508,0.17171270866989766,6.377409999999999
0,risky_ps,76,52,0.27521823350316893,10.221605192307692,0.5136363758750673,19.076455
0,risky_ps,77,53,0.279347037217667,10.37494896226415,0.4940448303715671,18.348825
0,risky_ps,78,54,0.28626869801950583,10.632019444444445,0.6531167205169629,24.256755000000002
0,risky_ps,79,55,0.28334174866598133,10.523312545454546,0.1252864835756597,4.6531400000000005
0,risky_ps,80,56,0.28058089564581895,10.420774464285714,0.12873397953688745,4.78118
0,risky_ps,81,57,0.27753616472522186,10.307693157894736,0.10703123317178245,3.97514
0,risky_ps,82,58,0.282417783131859,10.488996465517243,0.5606700323101776,20.823285
0,risky_ps,83,59,0.27982285306170884,10.392620762711864,0.12931690899299947,4.80283
0,risky_ps,84,60,0.2775821374080058,10.309400583333334,0.14537991383952611,5.39941
0,risky_ps,85,61,0.27553093964352876,10.233219098360655,0.15245907377490575,5.66233
0,risky_ps,86,62,0.27890110219396536,10.35838693548387,0.48448101777059777,17.993625
0,risky_ps,87,63,0.2835043272559429,10.529350714285712,0.568904281098546,21.129105
0,risky_ps,88,64,0.2891866144150512,10.740390859375,0.6471707054388798,24.035919999999997
0,risky_ps,89,65,0.28719711486682414,10.666500846153845,0.1598691437802908,5.93754
0,risky_ps,90,66,0.28421080963104395,10.555589469696969,0.09010096930533118,3.34635
0,risky_ps,91,67,0.28137308409487305,10.450196343283581,0.0940831987075929,3.49425
0,risky_ps,92,68,0.279144065380595,10.367410588235295,0.1297998115239634,4.820765000000001
0,risky_ps,93,69,0.27669226116613216,10.276350579710144,0.1099695745826602,4.08427
0,risky_ps,94,70,0.27459062235556586,10.198295714285713,0.12957754442649436,4.8125100000000005
0,risky_ps,95,71,0.27333289342950545,10.15158366197183,0.18529186860527735,6.881740000000001
0,risky_ps,96,72,0.2736013357865135,10.16155361111111,0.29266074313408724,10.86942
0,risky_ps,97,73,0.2780040756559778,10.325071369863013,0.5950013462574044,22.09835
0,risky_ps,98,74,0.28232277612830925,10.485467905405406,0.5975879106085084,22.194415
0,risky_ps,99,75,0.28018215580685696,10.405965266666668,0.12177625201938612,4.52277
0,risky_ps_old,25,1,0.13076628971459345,4.856660000000001,0.13076628971459345,4.856660000000001
0,risky_ps_old,26,2,0.2260811793214863,8.396655,0.32139606892837913,11.93665
0,risky_ps_old,27,3,0.3477140998025489,12.914101666666667,0.5909799407646742,21.948995
0,risky_ps_old,28,4,0.4108997711362412,15.260817500000002,0.6004567851373183,22.300965
0,risky_ps_old,29,5,0.35786688206785133,13.291176000000002,0.14573532579429185,5.41261
0,risky_ps_old,30,6,0.3219686322024771,11.957915000000002,0.14247738287560582,5.29161
0,risky_ps_old,31,7,0.2920655435033464,10.847314285714289,0.11264701130856221,4.1837100000000005
0,risky_ps_old,32,8,0.27169056273559505,10.090587500000002,0.12906569736133547,4.7935
0,risky_ps_old,33,9,0.25531951175731465,9.482566666666667,0.1243511039310716,4.618399999999999
0,risky_ps_old,34,10,0.24437915993537965,9.076242,0.14591599353796444,5.41932
0,risky_ps_old,35,11,0.2356270132667548,8.751187272727273,0.14810554658050618,5.50064
0,risky_ps_old,36,12,0.2651654550350027,9.848245,0.5900883144857297,21.91588
0,risky_ps_old,37,13,0.27090297626444637,10.06133653846154,0.33975323101777066,12.618435000000002
0,risky_ps_old,38,14,0.28928862797138244,10.744179642857144,0.5283021001615509,19.62114
0,risky_ps_old,39,15,0.2783570902889966,10.338182333333334,0.12531556273559502,4.65422
0,risky_ps_old,40,16,0.2677449936052773,9.944049062500001,0.10856354334948842,4.03205
0,risky_ps_old,41,17,0.26126445246919444,9.703361764705884,0.1575757942918686,5.852365
0,risky_ps_old,42,18,0.2535209417818465,9.415767777777779,0.12188126009693051,4.526669999999999
0,risky_ps_old,43,19,0.24697972111215033,9.172826842105264,0.12923774905761984,4.79989
0,risky_ps_old,44,20,0.24009974421109317,8.9173045,0.109380183091007,4.06238
0,risky_ps_old,45,21,0.2559305395286817,9.505260238095238,0.5725464458804523,21.264375
0,risky_ps_old,46,22,0.27216758456944246,10.10830409090909,0.6131455304254173,22.772225
0,risky_ps_old,47,23,0.2797670389361055,10.390547826086957,0.44695503500269257,16.59991
0,risky_ps_old,48,24,0.28967729649075574,10.758614791666666,0.5176132202477114,19.224155
0,risky_ps_old,49,25,0.2829766989768444,10.509754599999999,0.12216235864297253,4.53711
0,risky_ps_old,50,26,0.2775665620728222,10.308822115384613,0.1423131394722671,5.2855099999999995
0,risky_ps_old,51,27,0.27151234069287383,10.083968333333333,0.11410258481421647,4.237769999999999
0,risky_ps_old,52,28,0.26642757615970464,9.895120178571428,0.1291389337641357,4.79622
0,risky_ps_old,53,29,0.27578819192988324,10.24277344827586,0.5378854334948842,19.977065
0,risky_ps_old,54,30,0.2833298240890325,10.522869666666667,0.5020371567043619,18.64566
0,risky_ps_old,55,31,0.27944839057098686,10.37871322580645,0.16300538502961764,6.0540199999999995
0,risky_ps_old,56,32,0.28322989028002155,10.519158124999999,0.4004563812600969,14.87295
0,risky_ps_old,57,33,0.2845293402522805,10.567419696969695,0.3261117393645665,12.11179
0,risky_ps_old,58,34,0.29000645411638,10.770839705882352,0.47075121163166395,17.4837
0,risky_ps_old,59,35,0.2853350026925148,10.597341999999998,0.12650565428109856,4.6984200000000005
0,risky_ps_old,60,36,0.28028211571830314,10.409677777777777,0.1034310716208939,3.84143
0,risky_ps_old,61,37,0.27557718785020885,10.234936756756754,0.1061997845988153,3.94426
0,risky_ps_old,62,38,0.2825383258226341,10.493473421052629,0.5401004308023694,20.05933
0,risky_ps_old,63,39,0.2784835480441296,10.342878974358973,0.12440199246095852,4.62029
0,risky_ps_old,64,40,0.2748755250403877,10.208876999999998,0.1341626278944534,4.9828
0,risky_ps_old,65,41,0.27218293339637756,10.108874146341462,0.164479267635972,6.10876
0,risky_ps_old,66,42,0.27807451855270915,10.327687619047618,0.5196295099623048,19.29904
0,risky_ps_old,67,43,0.27918529511214635,10.368941860465116,0.32583791060850836,12.10162
0,risky_ps_old,68,44,0.28376537181181766,10.539045909090909,0.4807086698976844,17.85352
0,risky_ps_old,69,45,0.28014578471848256,10.404614444444443,0.12088395261173936,4.48963
0,risky_ps_old,70,46,0.277346242771183,10.300639456521738,0.1513668551427033,5.621765
0,risky_ps_old,71,47,0.27371257404415716,10.165684999999998,0.10656381260096931,3.95778
